id,ra_deg,dec_deg,magnitude
HIP2487,7.890614,-62.965898,4.530
HIP2497,7.920901,52.839429,5.590
HIP2505,7.943602,54.522180,4.740
HIP2548,8.099425,6.955489,5.690
HIP2568,8.148909,20.293962,5.380
HIP2578,8.184078,-63.031867,5.070
HIP2583,8.204500,28.280286,6.260
HIP2599,8.250020,62.931768,4.170
HIP2611,8.294082,54.894695,5.930
HIP2628,8.330899,70.981830,6.410
HIP2629,8.348629,-71.266342,6.110
HIP2661,8.420779,-29.558494,5.550
HIP2663,8.432008,-35.005882,6.410
HIP2707,8.604190,66.750349,6.470
HIP2711,8.618357,-52.372809,5.570
HIP2734,8.730129,13.370736,6.390
HIP2762,8.814997,-3.593114,5.200
HIP2787,8.887865,-0.506066,5.940
HIP2789,8.889152,-54.822250,6.040
HIP2802,8.922024,-48.001653,5.510
HIP2832,8.977348,13.205749,6.320
HIP2846,9.012662,-14.973471,6.450
HIP2852,9.028019,-22.842704,6.060
HIP2854,9.034879,54.168439,5.080
HIP2876,9.113970,60.326207,5.780
HIP2889,9.157468,-65.124508,6.430
HIP2900,9.193166,44.488821,5.140
HIP2903,9.197137,15.231621,5.890
HIP2912,9.220335,33.719318,4.340
HIP2920,9.243042,53.896842,3.690
HIP2926,9.279810,24.013797,6.180
HIP2937,9.326791,-54.393847,6.400
HIP2941,9.347424,-24.767393,5.570
HIP2942,9.338332,35.399475,5.450
HIP2954,9.377706,3.134908,6.430
HIP3031,9.637093,29.309881,4.340
HIP3056,9.703704,-25.107979,6.430
HIP3083,9.791310,49.354569,5.450
HIP3092,9.832919,30.860413,3.270
HIP3093,9.837303,21.247742,5.880
HIP3132,9.942300,82.494330,6.380
HIP3137,9.966863,-44.796170,6.000
HIP3138,9.981765,21.438285,5.360
HIP3170,10.117678,-59.451343,5.890
HIP3175,10.119412,-16.516913,6.490
HIP3179,10.127412,56.537094,2.240
HIP3185,10.141678,-23.807550,6.140
HIP3193,10.176442,-4.351948,5.900
HIP3231,10.279813,39.458642,5.300
HIP3245,10.331183,-46.084999,4.590
HIP3269,10.400993,24.628836,6.060
HIP3277,10.444352,-56.500893,5.720
HIP3299,10.514117,66.147529,5.830
HIP3300,10.516358,50.512478,4.800
HIP3330,10.618994,-65.467727,5.380
HIP3334,10.629688,58.753349,6.180
HIP3352,10.678048,-60.263188,5.990
HIP3356,10.678733,-38.463529,6.050
HIP3405,10.838434,-57.462946,4.360
HIP3414,10.866725,47.024272,4.950
HIP3419,10.899152,-17.986364,2.040
HIP3436,10.958694,-12.013343,6.010
HIP3455,11.047448,-10.610388,4.770
HIP3456,11.052566,-38.420798,5.900
HIP3478,11.108744,47.864047,5.660
HIP3489,11.133249,-62.497545,6.060
HIP3504,11.181497,48.284308,4.480
HIP3505,11.184465,-22.005538,5.220
HIP3521,11.236913,-42.677265,5.940
HIP3527,11.252164,-53.714879,6.150
HIP3544,11.321244,55.221357,5.410
HIP3552,11.350804,-4.628883,6.150
HIP3559,11.369291,-12.882324,6.150
HIP3572,11.412506,74.987912,5.640
HIP3576,11.423867,-16.424265,6.470
HIP3583,11.441756,-47.551408,5.800
HIP3604,11.545218,44.861463,6.030
HIP3607,11.550506,-22.522187,5.490
HIP3632,11.637105,15.475178,5.360
HIP3641,11.663174,69.325521,6.390
HIP3649,11.676844,59.574533,6.410
HIP3675,11.756475,11.973590,5.510
HIP3685,11.807612,19.578751,6.110
HIP3693,11.833898,24.266575,4.080
HIP3697,11.848577,6.740880,5.980
HIP3717,11.930319,-18.061086,5.700
HIP3721,11.942208,74.847529,5.420
HIP3741,12.004638,-21.722545,5.570
HIP3750,12.040610,72.674555,5.860
HIP3760,12.073368,7.299953,5.920
HIP3765,12.101334,5.272214,5.740
HIP3781,12.150425,-74.923693,5.090
HIP3786,12.171212,7.584707,4.440
HIP3801,12.208734,50.968096,4.900
HIP3807,12.236257,-46.697495,6.280
HIP3810,12.244602,16.939160,5.070
HIP3821,12.288924,57.811067,3.460
HIP3834,12.308725,-24.137111,5.900
HIP3849,12.357513,-13.562053,5.590
HIP3858,12.389197,-23.362248,6.270
HIP3881,12.453731,41.078778,4.530
HIP3885,12.472215,27.710211,5.550
HIP3903,12.515821,-43.394850,6.490
HIP3909,12.529962,-10.646008,5.170
HIP3919,12.576677,45.002309,6.130
HIP3949,12.672257,-50.986487,5.240
HIP3951,12.682128,64.247454,5.350
HIP3965,12.740577,51.508028,6.380
HIP3988,12.818233,61.805480,6.040
HIP3992,12.826513,3.384552,6.390
HIP4023,12.890752,51.571346,6.220
HIP4104,13.169566,-24.005597,5.470
HIP4147,13.252113,-1.144380,4.780
HIP4151,13.266622,61.125219,4.800
HIP4164,13.302742,-24.776582,6.440
HIP4185,13.367699,37.417882,6.070
HIP4200,13.408786,-62.871347,5.730
HIP4212,13.449118,52.689138,6.270
HIP4257,13.573431,-8.741010,6.150
HIP4267,13.646861,19.188360,5.800
HIP4283,13.724169,83.707356,5.590
HIP4288,13.743186,23.627999,5.460
HIP4292,13.750265,58.972398,4.830
HIP4293,13.751432,-69.527403,5.450
HIP4298,13.771448,48.678435,6.280
HIP4317,13.811320,24.556959,6.190
HIP4346,13.926608,-7.347479,5.880
HIP4363,13.981484,-27.775877,6.110
HIP4366,13.993636,27.209463,6.080
HIP4371,14.006004,-11.266585,5.350
HIP4382,14.037991,13.951939,6.460
HIP4383,14.054546,57.996440,6.200
HIP4422,14.165150,59.180722,4.620
HIP4427,14.177531,60.716712,2.150
HIP4436,14.189712,38.499616,3.860
HIP4440,14.196062,60.362801,5.560
HIP4446,14.231344,68.775399,6.390
HIP4463,14.301324,23.417309,4.400
HIP4475,14.332448,61.421781,6.440
HIP4501,14.415299,45.839330,6.100
HIP4510,14.459009,28.992160,5.440
HIP4520,14.477085,13.695823,6.300
HIP4552,14.559538,33.950356,5.990
HIP4558,14.578649,21.404469,6.470
HIP4563,14.593143,-60.696067,6.230
HIP4572,14.630072,66.351696,5.970
HIP4577,14.651680,-29.357403,4.300
HIP4587,14.682531,-11.380086,5.620
HIP4655,14.957174,6.483186,6.140
HIP4675,15.014972,44.713057,5.690
HIP4709,15.130537,70.982940,6.400
HIP4770,15.326734,-38.916160,5.590
HIP4786,15.362734,49.544200,6.480
HIP4801,15.411567,-16.266247,6.470
HIP4829,15.507657,-57.002267,6.120
HIP4844,15.576896,51.034840,6.480
HIP4852,15.610810,-31.551893,5.500
HIP4879,15.678901,-65.456075,6.250
HIP4889,15.704700,31.804039,5.500
HIP4890,15.704931,-46.397230,5.390
HIP4903,15.725939,41.345032,5.950
HIP4906,15.735271,7.890326,4.270
HIP4911,15.757290,47.376044,6.460
HIP4914,15.759710,-4.837359,5.400
HIP4932,15.822901,-29.526082,6.280
HIP4962,15.904177,61.074801,5.920
HIP4979,15.955186,1.366546,6.060
HIP4998,16.009967,52.501712,5.990
HIP5021,16.080025,61.580002,5.830
HIP5034,16.115806,29.657921,6.200
HIP5042,16.135364,-33.533018,6.440
HIP5074,16.219535,5.656142,6.030
HIP5081,16.272368,14.946526,5.640
HIP5121,16.403457,-9.979575,6.090
HIP5131,16.420985,21.473076,5.330
HIP5132,16.424212,21.465349,5.550
HIP5141,16.455207,4.907494,6.350
HIP5165,16.520352,-46.718181,3.320
HIP5164,16.521681,-9.839311,5.580
HIP5170,16.531784,-23.992698,6.120
HIP5175,16.546729,32.181312,6.280
HIP5204,16.640219,12.956239,6.140
