Magnetic declination D (deg, east-positive), epoch 2026-09-04 (decimal year 2026.6767)
Sources (MEASURED): primary pygeomag WMM2025; cross-check = geomag package
(INDEPENDENT implementation, same WMM_2025.COF coefficients).
On-device acquisition: android.hardware.GeomagneticField (WMM, framework-managed)
loc                  lat      lon   WMM2025    geomag     diff
Tehran             35.69    51.39     4.966     4.967  -0.0017
Sydney            -33.87   151.21    12.825    12.825   0.0000
Quito               0.00   -78.50    -5.084    -5.085   0.0014
Tromso             69.65    18.96    11.242    11.241   0.0007
CapeTown          -33.93    18.42   -26.784   -26.784  -0.0004
Honolulu           21.31  -157.86     9.273     9.273  -0.0001
Frankfurt          50.11     8.68     3.769     3.769   0.0001
Nurabad-default    30.11    51.52     3.570     3.571  -0.0009
worst |diff| = 0.0017 deg  (pass if < 0.01: pure implementation agreement)
