loc,iso_utc,route,az_kotlin,alt_kotlin,az_oracle_geometric,alt_oracle_geometric,az_oracle_refr_appweather,alt_oracle_refr_appweather
Tehran,2026-09-04T20:00:00,planet_mars,45.34390200,-15.66808859,45.33627089,-15.66775478,45.33627089,-15.51882270
Tehran,2026-09-04T20:00:00,planet_jupiter,21.28405275,-34.56444475,21.28977980,-34.55832074,21.28977980,-34.45380005
Tehran,2026-09-04T20:00:00,planet_saturn,124.18712892,41.90601262,124.17477638,41.88205505,124.17477638,41.89780369
Tehran,2026-09-04T20:00:00,planet_uranus,73.42023023,13.38445969,73.41458638,13.31822827,73.41458638,13.37654384
Tehran,2026-09-04T20:00:00,planet_neptune,136.97711275,45.66317432,136.96502099,45.64599030,136.96502099,45.65980240
Tehran,2026-09-04T20:00:00,moon_geocentric,60.43417056,7.08866655,60.43002283,5.98691859,60.43002283,6.10616308
Tromso,2026-09-04T20:00:00,sun,319.04545344,-8.51620595,319.04542082,-8.51792310,319.04542082,-8.34265324
Tromso,2026-09-04T20:00:00,moon,40.13444129,12.01633633,40.13500661,11.94393476,40.13500661,12.01668005
Tromso,2026-09-04T20:00:00,planet_mercury,311.37719422,-8.34094987,311.38212268,-8.34325890,311.38212268,-8.16782847
Tromso,2026-09-04T20:00:00,planet_venus,274.64703183,-16.34370921,274.65129151,-16.35555876,274.65129151,-16.19061062
Tromso,2026-09-04T20:00:00,planet_mars,14.42947464,3.62475954,14.42421268,3.42170816,14.42421268,3.60182688
Tromso,2026-09-04T20:00:00,planet_jupiter,346.40024634,-2.77442300,346.40706859,-2.77069517,346.40706859,-2.59163918
Tromso,2026-09-04T20:00:00,planet_saturn,107.41578529,9.45349504,107.40519256,9.35765150,107.40519256,9.44915517
Tromso,2026-09-04T20:00:00,planet_uranus,54.35082600,9.92848307,54.34760712,9.84299716,54.34760712,9.93034519
Tromso,2026-09-04T20:00:00,planet_neptune,117.50355762,9.93395975,117.49510956,9.84521739,117.49510956,9.93254720
Tromso,2026-09-04T20:00:00,moon_geocentric,40.13587207,12.97552058,40.13500661,11.94393476,40.13500661,12.01668005
CapeTown,2026-03-20T12:00:00,sun,331.92443614,52.73820014,331.92398861,52.72406965,331.92398861,52.73613047
