loc,lat_deg,lon_deg,height_m,iso_utc,jd_utc,obj_id,obj_type,ra_in_deg,dec_in_deg,mag,gmst_deg_oracle,gmst_deg_kotlin,gast_deg_oracle,gast_deg_kotlin,az_oracle_geometric,alt_oracle_geometric,az_oracle_refr1010,alt_oracle_refr1010,az_oracle_refr_appweather,alt_oracle_refr_appweather,az_kotlin_star_live,alt_kotlin_star_live,az_kotlin_star_live_elev,alt_kotlin_star_live_elev,az_kotlin_fte,alt_kotlin_fte
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_ori_rigel,STAR,78.634000,-8.202000,0.13,283.951472328,283.951484917,283.953807952,283.953820514,127.34961750,-31.14896623,127.34961750,-31.01802711,127.34961750,-31.02112676,127.35249777,-31.14394861,127.35249777,-31.14394861,127.35255240,-31.14724695
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_ori_bellatrix,STAR,81.283000,6.350000,1.64,283.951472328,283.951484917,283.953807952,283.953820514,116.84562094,-43.38077238,116.84562094,-43.29509721,116.84562094,-43.29682386,116.84844468,-43.37700581,116.84844468,-43.37700581,116.84818468,-43.38039121
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_ori_saiph,STAR,86.939000,-9.670000,2.07,283.951472328,283.951484917,283.953807952,283.953820514,136.09921027,-35.13015931,136.09921027,-35.01311432,136.09921027,-35.01574486,136.10237350,-35.12540652,136.10237350,-35.12540652,136.10285218,-35.12854770
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_ori_alnitak,STAR,85.190000,-1.940000,1.77,283.951472328,283.951484917,283.953807952,283.953820514,128.35624653,-40.15643146,128.35624653,-40.05825608,128.35624653,-40.06032037,128.35930695,-40.15218352,128.35930695,-40.15218352,128.35959726,-40.15546763
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_ori_alnilam,STAR,84.053000,-1.202000,1.69,283.951472328,283.951484917,283.953807952,283.953820514,126.60321831,-39.96659484,126.60321831,-39.86768907,126.60321831,-39.86977395,126.60622845,-39.96235411,126.60622845,-39.96235411,126.60642950,-39.96566234
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_ori_mintaka,STAR,83.002000,-0.299000,2.23,283.951472328,283.951484917,283.953807952,283.953820514,124.79665374,-39.92923864,124.79665374,-39.83018926,124.79665374,-39.83227820,124.79961316,-39.92502038,124.79961316,-39.92502038,124.79972580,-39.92835023
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_tau_aldebaran,STAR,68.980000,16.509000,0.85,283.951472328,283.951484917,283.953807952,283.953820514,96.36231405,-39.61760891,96.36231405,-39.51736301,96.36231405,-39.51948593,96.36419336,-39.61390255,96.36419336,-39.61390255,96.36292450,-39.61713210
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_tau_elnath,STAR,81.573000,28.608000,1.65,283.951472328,283.951484917,283.953807952,283.953820514,87.54773737,-55.31076704,87.54773737,-55.26901307,87.54773737,-55.26974020,87.55004432,-55.30882043,87.55004432,-55.30882043,87.54744317,-55.31185416
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_aur_capella,STAR,79.172000,45.998000,0.08,283.951472328,283.951484917,283.953807952,283.953820514,56.44863918,-55.59205435,56.44863918,-55.55121896,56.44863918,-55.55192786,56.44927143,-55.59078618,56.44927143,-55.59078618,56.44467648,-55.59260295
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_umi_polaris,STAR,37.954000,89.264000,1.98,283.951472328,283.951484917,283.953807952,283.953820514,0.73451549,-34.08481084,0.73451549,-33.96400795,0.73451549,-33.96676057,0.73218237,-34.08290965,0.73218237,-34.08290965,0.72965895,-34.08156873
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_uma_dubhe,STAR,165.932000,61.751000,1.79,283.951472328,283.951484917,283.953807952,283.953820514,328.51023556,-50.80730905,328.51023556,-50.74990480,328.51023556,-50.75095823,328.50761454,-50.80595568,328.50761454,-50.80595568,328.50484475,-50.80316134
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_uma_merak,STAR,165.460000,56.380000,2.37,283.951472328,283.951484917,283.953807952,283.953820514,320.54739972,-53.00022058,320.54739972,-52.95064311,320.54739972,-52.95152954,320.54471334,-52.99880829,320.54471334,-52.99880829,320.54228875,-52.99577514
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_uma_alioth,STAR,193.507000,55.960000,1.77,283.951472328,283.951484917,283.953807952,283.953820514,317.75877508,-37.60998042,317.75877508,-37.50210510,317.75877508,-37.50445125,317.75654095,-37.60829903,317.75654095,-37.60829903,317.75507345,-37.60519590
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_uma_mizar,STAR,200.981000,54.925000,2.23,283.951472328,283.951484917,283.953807952,283.953820514,317.42476632,-33.25684937,317.42476632,-33.13312241,317.42476632,-33.13597240,317.42258157,-33.25516687,317.42258157,-33.25516687,317.42128216,-33.25205584
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_uma_alkaid,STAR,206.885000,49.313000,1.85,283.951472328,283.951484917,283.953807952,283.953820514,312.41519947,-28.15357188,312.41519947,-28.01303202,312.41519947,-28.01648714,312.41317728,-28.15191571,312.41317728,-28.15191571,312.41218829,-28.14869908
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cas_schedar,STAR,10.127000,56.537000,2.24,283.951472328,283.951484917,283.953807952,283.953820514,32.26450452,-17.26406766,32.26450452,-17.09630130,32.26450452,-17.10094826,32.26238234,-17.26045215,32.26238234,-17.26045215,32.26092282,-17.26093714
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_cas_caph,STAR,2.293000,59.150000,2.28,283.951472328,283.951484917,283.953807952,283.953820514,27.41881286,-15.66015937,27.41881286,-15.48947263,27.41881286,-15.49426762,27.41645020,-15.65666284,27.41645020,-15.65666284,27.41508468,-15.65686271
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_per_mirfak,STAR,51.080000,49.860000,1.79,283.951472328,283.951484917,283.953807952,283.953820514,49.60275040,-37.06891215,49.60275040,-36.95900898,49.60275040,-36.96141645,49.60219539,-37.06614963,49.60219539,-37.06614963,49.59946851,-37.06761235
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_per_algol,STAR,47.040000,40.960000,2.12,283.951472328,283.951484917,283.953807952,283.953820514,59.11947675,-31.98542408,59.11947675,-31.85730504,59.11947675,-31.86030540,59.11918335,-31.98195830,59.11918335,-31.98195830,59.11703412,-31.98390645
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_boo_arcturus,STAR,213.915000,19.182000,-0.05,283.951472328,283.951484917,283.953807952,283.953820514,286.95567015,-9.02778370,286.95567015,-8.84794997,286.95567015,-8.85323746,286.95494276,-9.02668996,286.95494276,-9.02668996,286.95459193,-9.02332632
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_vir_spica,STAR,201.298000,-11.161000,0.98,283.951472328,283.951484917,283.953807952,283.953820514,254.65244019,-2.40994418,254.65244019,-2.22545065,254.65244019,-2.23099536,254.65399489,-2.40850072,254.65399489,-2.40850072,254.65366810,-2.40588085
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_sco_antares,STAR,247.352000,-26.432000,0.96,283.951472328,283.951484917,283.953807952,283.953820514,263.68157970,42.77004221,263.68157970,42.78743142,263.68157970,42.78715786,263.68439435,42.78517551,263.68439435,42.78513239,263.68239289,42.78803746
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_sco_shaula,STAR,263.402000,-37.104000,1.62,283.951472328,283.951484917,283.953807952,283.953820514,252.92135840,58.70769717,252.92135840,58.71748541,252.92135840,58.71733158,252.92803311,58.71393042,252.92803311,58.71390614,252.92394983,58.71644571
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_leo_regulus,STAR,152.093000,11.967000,1.36,283.951472328,283.951484917,283.953807952,283.953820514,238.32923909,-54.81172656,238.32923909,-54.76832403,238.32923909,-54.76908411,238.32954104,-54.80854553,238.32954104,-54.80854553,238.33309447,-54.80663565
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_gem_pollux,STAR,116.329000,28.026000,1.14,283.951472328,283.951484917,283.953807952,283.953820514,139.52430598,-82.32424527,139.52430598,-82.32546575,139.52430598,-82.32544829,139.53698762,-82.32329996,139.53698762,-82.32329996,139.54740113,-82.32635908
CapeTown,-33.93,18.42,25.0,2026-09-04T20:00:00,2461288.333333334,star_gem_castor,STAR,113.650000,31.888000,1.58,283.951472328,283.951484917,283.953807952,283.953820514,104.48950668,-82.72384595,104.48950668,-82.72507124,104.48950668,-82.72505374,104.50219045,-82.72391807,104.50219045,-82.72391807,104.49737457,-82.72726073
